Economy,Scenario,Branch Path,Variable,Year,Value,Scale,Units,Source,Comment,Input Status,Shown In Interface,Source Data Year,Source Classification,Base Year Treatment,Derivation Method
14PE,Current Accounts,Demand\Freight road,Freight GDP Elasticity Adjustment,2022,1.0,,Multiplier,model_assumption_defaults.csv,Loaded from manually filled missing-row source. This is a structural/model assumption rather than a year-specific observation; replace it when better documented evidence becomes available. Pipeline lineage: model_assumption_defaults.csv.,default,True,,model_assumption,transformed,model_assumption_default
14PE,Current Accounts,Demand\Freight road,Reconciliation Bound Lower Efficiency,2022,0.9,,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Bound Lower Mileage,2022,0.85,,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Bound Upper Efficiency,2022,1.1,,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Bound Upper Mileage,2022,1.15,,Share,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Weight Efficiency,2022,0.25,,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Weight Mileage,2022,0.25,,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road,Reconciliation Weight Stock,2022,0.5,,Weight,apec_reconciliation_factors.csv,Reconciliation factor from apec_reconciliation_factors.csv (freight). Legacy input — original source detail not yet recorded; please update when better evidence is available. Pipeline lineage: apec_reconciliation_factors.csv.,default,True,2026,legacy_unknown,carried_backward,future_year_seed
14PE,Current Accounts,Demand\Freight road\Age 0,Survival Rate,2022,100.0,%,Share,vehicle_survival_modified_00_APEC.xlsx,"Survival Rate imported from vehicle_survival_modified_00_APEC.xlsx; transport=freight, age=0. This is a structural/model assumption rather than a year-specific observation; replace it when better documented evidence becomes available. Pipeline lineage: vehicle_survival_modified_00_APEC.xlsx.",default,True,,structural_assumption,transformed,lifecycle_survival_assumption
14PE,Current Accounts,Demand\Freight road\Age 0,Vintage Profile Share,2022,0.0,%,Share,vintage_modelled_from_survival_00_APEC.xlsx,"Vintage Profile Share imported from vintage_modelled_from_survival_00_APEC.xlsx; transport=freight, age=0. This is a structural/model assumption rather than a year-specific observation; replace it when better documented evidence becomes available. Pipeline lineage: vintage_modelled_from_survival_00_APEC.xlsx.",default,True,,structural_assumption,transformed,base_year_vintage_profile_assumption
